time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-19T09:53:33.700Z,35.646,-117.4705,8.05,0.82,ml,17,51,0.04263,0.14,ci,ci38906983,2019-10-19T09:57:15.412Z,"15km SSW of Searles Valley, CA",earthquake,0.33,0.67,0.163,9,automatic,ci,ci
2019-10-19T09:53:28.859Z,66.3185,-157.4559,0,2.3,ml,,,,0.81,ak,ak019df2lnth,2019-10-19T09:58:35.522Z,"70km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T09:42:42.220Z,35.6173333,-117.4445,6.37,1.22,ml,24,77,0.03398,0.17,ci,ci38906975,2019-10-19T09:54:15.468Z,"17km SSW of Searles Valley, CA",earthquake,0.27,0.49,0.175,18,automatic,ci,ci
2019-10-19T09:41:49.945Z,60.3695,-147.9031,17,2.1,ml,,,,0.46,ak,ak019df2j4v1,2019-10-19T09:46:22.924Z,"62km SE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T09:29:25.194Z,35.72406769,-98.82735443,2.588226318,2.07,ml,13,82.71896362,0.1372727156,0.9250119048,ok,ok2019umke,2019-10-19T09:38:28.605Z,"7km WSW of Thomas, Oklahoma",earthquake,3.288092334,2.772384979,,9,automatic,ok,ok
2019-10-19T09:27:23.158Z,66.3185,-157.3088,2.9,1.3,ml,,,,0.43,ak,ak019df2g2r1,2019-10-19T09:37:00.684Z,"68km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-19T08:54:48.992Z,66.2104,-157.4008,0,1.5,ml,,,,0.66,ak,ak019df20hh1,2019-10-19T09:02:34.110Z,"81km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T08:54:08.750Z,37.6378326,-118.9173355,5.53,0.92,md,13,63,0.01641,0.01,nc,nc73294065,2019-10-19T09:08:03.718Z,"5km E of Mammoth Lakes, CA",earthquake,0.48,1.16,0.18,12,automatic,nc,nc
2019-10-19T08:51:44.440Z,66.3161,-157.4628,0,2.1,ml,,,,0.95,ak,ak019df1zu0e,2019-10-19T08:59:42.735Z,"70km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T08:51:02.300Z,36.7177,-115.9575,2,0.6,ml,10,187.7,0.025,0.15,nn,nn00707873,2019-10-19T08:54:26.593Z,"56km N of Pahrump, Nevada",earthquake,,15.1,,,automatic,nn,nn
2019-10-19T08:50:41.200Z,35.876,-117.7191667,6.76,1.17,ml,22,63,0.07687,0.1,ci,ci38906959,2019-10-19T08:54:28.609Z,"18km ESE of Little Lake, CA",earthquake,0.18,0.44,0.2,20,automatic,ci,ci
2019-10-19T08:46:57.830Z,36.0740013,-117.8568344,5.4,0.91,ml,8,159,0.04352,0.05,ci,ci38906951,2019-10-19T08:50:40.875Z,"9km ENE of Coso Junction, CA",earthquake,0.87,2.76,0.206,8,automatic,ci,ci
2019-10-19T08:40:13.240Z,-18.3126,-171.8344,10,5.3,mww,,93,1.96,0.89,us,us70005vw9,2019-10-19T09:00:22.040Z,"218km WNW of Alofi, Niue",earthquake,7.9,1.9,0.073,18,reviewed,us,us
2019-10-19T08:33:51.851Z,56.8428,-155.3143,8.1,2,ml,,,,0.7,ak,ak019df1vznr,2019-10-19T08:37:37.780Z,"112km SW of Larsen Bay, Alaska",earthquake,,2.4,,,automatic,ak,ak
2019-10-19T08:25:02.150Z,35.6633333,-117.4698333,10.84,0.82,ml,14,108,0.03762,0.2,ci,ci38906935,2019-10-19T08:28:36.896Z,"13km SSW of Searles Valley, CA",earthquake,0.6,0.95,0.165,8,automatic,ci,ci
2019-10-19T08:09:20.190Z,33.1115,-116.4248333,7.55,0.83,ml,14,127,0.1481,0.22,ci,ci38906927,2019-10-19T08:13:07.733Z,"17km SSW of Borrego Springs, CA",earthquake,0.56,2.38,0.13,10,automatic,ci,ci
2019-10-19T08:06:09.590Z,35.6361667,-117.4671667,3.85,1.07,ml,20,57,0.04198,0.17,ci,ci38906919,2019-10-19T08:09:50.380Z,"16km SSW of Searles Valley, CA",earthquake,0.26,0.51,0.196,13,automatic,ci,ci
2019-10-19T08:04:14.822Z,57.4749,-152.8165,25.7,2.2,ml,,,,0.5,ak,ak019df1pp3a,2019-10-19T08:08:52.682Z,"34km SSW of Kodiak Station, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T08:02:59.810Z,35.8813333,-117.7026667,2.78,0.68,ml,14,71,0.07883,0.13,ci,ci38906911,2019-10-19T08:06:33.764Z,"19km ESE of Little Lake, CA",earthquake,0.24,0.34,0.137,10,automatic,ci,ci
2019-10-19T07:58:34.410Z,33.4731667,-116.4433333,9.58,1.79,ml,64,39,0.05222,0.2,ci,ci38906903,2019-10-19T08:09:53.540Z,"23km ESE of Anza, CA",earthquake,0.2,0.4,0.203,27,automatic,ci,ci
2019-10-19T07:57:08.123Z,-17.5896,-69.4975,172.08,4.5,mb,,81,0.016,0.98,us,us70005vw2,2019-10-19T08:20:20.040Z,"58km ESE of Tarata, Peru",earthquake,6.9,6.1,0.131,17,reviewed,us,us
2019-10-19T07:52:42.760Z,33.3661667,-116.5773333,2.36,0.43,ml,15,104,0.1299,0.29,ci,ci38906895,2019-10-19T07:56:27.652Z,"11km NNE of Warner Springs, CA",earthquake,0.9,3.88,0.23,7,automatic,ci,ci
2019-10-19T07:47:30.210Z,19.3373337,-155.1380005,4.52,1.73,ml,47,115,0.04874,0.18,hv,hv71188466,2019-10-19T07:53:19.270Z,"14km SE of Volcano, Hawaii",earthquake,0.51,1.37,0.09,3,automatic,hv,hv
2019-10-19T07:45:41.260Z,35.609,-117.4768333,8.88,1.1,ml,20,60,0.01595,0.2,ci,ci38906887,2019-10-19T07:49:11.652Z,"18km E of Ridgecrest, CA",earthquake,0.37,0.54,0.204,14,automatic,ci,ci
2019-10-19T07:39:49.915Z,61.4424,-150.6765,51.7,1.4,ml,,,,0.58,ak,ak019df1bu6z,2019-10-19T07:42:16.972Z,"39km WSW of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2019-10-19T07:34:40.974Z,66.3323,-157.2153,6.8,1.4,ml,,,,0.4,ak,ak019df1aqxa,2019-10-19T07:47:28.335Z,"65km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T07:06:25.898Z,61.7422,-146.6072,13.9,2.5,ml,,,,0.91,ak,ak019df14ppb,2019-10-19T07:21:21.040Z,"69km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T06:58:56.230Z,36.6226654,-121.2891693,7.43,1.66,md,13,105,0.02365,0.13,nc,nc73294045,2019-10-19T07:17:03.066Z,"16km NW of Pinnacles, CA",earthquake,0.49,1.1,0.24,11,automatic,nc,nc
2019-10-19T06:51:18.286Z,66.2911,-157.2786,4.6,2,ml,,,,0.47,ak,ak019df0swr8,2019-10-19T06:59:47.953Z,"70km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T06:45:42.700Z,35.9033333,-118.1301667,3.85,0.98,ml,7,202,0.2207,0.23,ci,ci38906879,2019-10-19T06:49:09.305Z,"20km W of Little Lake, CA",earthquake,2.88,31.61,0.27,9,automatic,ci,ci
2019-10-19T06:40:59.365Z,57.5413,-155.5326,62.3,1.7,ml,,,,0.55,ak,ak019df0qn24,2019-10-19T06:51:35.961Z,"93km W of Larsen Bay, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-10-19T06:37:58.041Z,60.629,-151.0996,56.9,1.4,ml,,,,0.59,ak,ak019df0pzvi,2019-10-19T06:44:13.401Z,"10km N of Ridgeway, Alaska",earthquake,,2.2,,,automatic,ak,ak
2019-10-19T06:30:48.240Z,36.6428337,-121.2573318,9.62,2.03,md,23,137,0.05608,0.05,nc,nc73294040,2019-10-19T06:43:02.867Z,"16km NW of Pinnacles, CA",earthquake,0.27,0.54,0.22,27,automatic,nc,nc
2019-10-19T06:27:50.110Z,35.8815,-117.6915,2.4,1.54,ml,24,77,0.07419,0.17,ci,ci38906871,2019-10-19T06:31:42.178Z,"20km ESE of Little Lake, CA",earthquake,0.22,0.31,0.135,27,automatic,ci,ci
2019-10-19T06:17:32.230Z,33.5963333,-116.6221667,12.36,0.69,ml,28,51,0.02191,0.16,ci,ci38906863,2019-10-19T06:21:10.176Z,"7km NE of Anza, CA",earthquake,0.25,0.42,0.139,19,automatic,ci,ci
2019-10-19T06:12:38.173Z,60.7434,-140.053,40.8,1.6,ml,,,,1.07,ak,ak019df0klbk,2019-10-19T06:15:48.209Z,"134km N of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T06:07:17.735Z,66.3261,-157.0479,0,1.9,ml,,,,1.14,ak,ak019df0jhds,2019-10-19T06:14:07.601Z,"65km S of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-19T06:02:23.570Z,33.4853333,-116.7965,5.7,0.54,ml,19,47,0.09393,0.11,ci,ci38906847,2019-10-19T06:06:06.900Z,"8km NE of Aguanga, CA",earthquake,0.21,1.11,0.151,15,automatic,ci,ci
2019-10-19T06:00:18.150Z,66.2568,-157.1649,3.9,1.5,ml,,,,0.54,ak,ak019df0hze9,2019-10-19T06:12:26.966Z,"73km S of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T05:55:52.982Z,66.2227,-157.1918,0,1.8,ml,,,,1.1,ak,ak019df08epr,2019-10-19T06:03:15.071Z,"77km S of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T05:51:26.155Z,66.3896,-157.2559,0,2.9,ml,,,,0.75,ak,ak019df07hr1,2019-10-19T06:35:51.040Z,"60km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-19T05:50:25.660Z,35.7056667,-117.5761667,8.23,1.99,ml,30,55,0.08364,0.18,ci,ci38906839,2019-10-19T05:54:10.820Z,"13km NE of Ridgecrest, CA",earthquake,0.26,0.8,0.159,26,automatic,ci,ci
2019-10-19T05:49:33.501Z,66.31,-157.4503,0,1.7,ml,,,,0.83,ak,ak019df072uv,2019-10-19T06:01:33.122Z,"71km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T05:28:24.577Z,66.333,-157.4508,0,2.3,ml,,,,0.69,ak,ak019df02k6s,2019-10-19T05:41:48.276Z,"68km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T05:22:35.810Z,35.9016667,-117.7385,9.15,0.84,ml,10,114,0.07999,0.06,ci,ci38906831,2019-10-19T05:26:20.164Z,"16km ESE of Little Lake, CA",earthquake,0.22,0.55,0.254,12,automatic,ci,ci
2019-10-19T05:19:44.093Z,66.2478,-157.39,9.7,1.4,ml,,,,1.14,ak,ak019df00o97,2019-10-19T05:26:23.607Z,"76km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T05:19:35.700Z,35.9021667,-117.7395,9.9,0.5,ml,8,114,0.07905,0.04,ci,ci38906823,2019-10-19T05:23:03.611Z,"16km ESE of Little Lake, CA",earthquake,0.19,0.61,0.191,4,automatic,ci,ci
2019-10-19T05:15:20.730Z,35.9031667,-117.7433333,7.71,0.88,ml,14,67,0.07596,0.09,ci,ci38906815,2019-10-19T05:18:47.039Z,"15km ESE of Little Lake, CA",earthquake,0.2,0.73,0.158,10,automatic,ci,ci
2019-10-19T05:13:59.169Z,66.3186,-157.228,0,1.7,ml,,,,1.44,ak,ak019dezzf4k,2019-10-19T05:24:42.535Z,"67km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
